Entity,Code,Year,Wind Capacity
Argentina,ARG,1997,0.009
Argentina,ARG,1998,0.014
Argentina,ARG,1999,0.014
Argentina,ARG,2000,0.014112
Argentina,ARG,2001,0.024829
Argentina,ARG,2002,0.0257979999999999
Argentina,ARG,2003,0.025729
Argentina,ARG,2004,0.027829
Argentina,ARG,2005,0.027829
Argentina,ARG,2006,0.027829
Argentina,ARG,2007,0.027829
Argentina,ARG,2008,0.027829
Argentina,ARG,2009,0.027829
Argentina,ARG,2010,0.027829
Argentina,ARG,2011,0.059579
Argentina,ARG,2012,0.136979
Argentina,ARG,2013,0.189979
Argentina,ARG,2014,0.215187
Argentina,ARG,2015,0.187104
Argentina,ARG,2016,0.187442
Argentina,ARG,2017,0.226742
Argentina,ARG,2018,0.750342
Argentina,ARG,2019,1609359.0
Argentina,ARG,2020,2623904.0
Argentina,ARG,2021,3292124.0
Brazil,BRA,1997,0.004
Brazil,BRA,1998,0.019
Brazil,BRA,1999,0.022
Brazil,BRA,2000,0.022
Brazil,BRA,2001,0.024
Brazil,BRA,2002,0.022
Brazil,BRA,2003,0.024
Brazil,BRA,2004,0.024
Brazil,BRA,2005,0.029
Brazil,BRA,2006,0.237
Brazil,BRA,2007,0.247
Brazil,BRA,2008,0.398
Brazil,BRA,2009,0.602
Brazil,BRA,2010,0.927
Brazil,BRA,2011,1426.0
Brazil,BRA,2012,1.894e+16
Brazil,BRA,2013,220202.0
Brazil,BRA,2014,4888053.0
Brazil,BRA,2015,7633115.0
Brazil,BRA,2016,10129155.0
Brazil,BRA,2017,1.2304272e+16
Brazil,BRA,2018,1.48430939999999e+16
Brazil,BRA,2019,1.5438379e+16
Brazil,BRA,2020,17198324.0
Brazil,BRA,2021,2.116127e+16
Chile,CHL,1997,0.0
Chile,CHL,1998,0.0
Chile,CHL,1999,0.0
Chile,CHL,2000,0.0
Chile,CHL,2001,0.002
Chile,CHL,2002,0.002
Chile,CHL,2003,0.002
Chile,CHL,2004,0.002
Chile,CHL,2005,0.002
Chile,CHL,2006,0.002
Chile,CHL,2007,0.02
Chile,CHL,2008,0.02
Chile,CHL,2009,0.163
Chile,CHL,2010,0.163
Chile,CHL,2011,0.184
Chile,CHL,2012,0.202
Chile,CHL,2013,0.301
Chile,CHL,2014,0.736
Chile,CHL,2015,0.91
Chile,CHL,2016,1039.0
Chile,CHL,2017,1305.0
Chile,CHL,2018,1524.0
Chile,CHL,2019,1620074.0
Chile,CHL,2020,2.148996e+16
Chile,CHL,2021,3137006.0
Costa Rica,CRI,1997,0.023
Costa Rica,CRI,1998,0.027
Costa Rica,CRI,1999,0.035
Costa Rica,CRI,2000,0.0425
Costa Rica,CRI,2001,0.0623
Costa Rica,CRI,2002,0.0623
Costa Rica,CRI,2003,0.0686
Costa Rica,CRI,2004,0.0686
Costa Rica,CRI,2005,0.0686
Costa Rica,CRI,2006,0.0686
Costa Rica,CRI,2007,0.066
Costa Rica,CRI,2008,0.066
Costa Rica,CRI,2009,0.1155
Costa Rica,CRI,2010,0.1155
Costa Rica,CRI,2011,0.1283
Costa Rica,CRI,2012,0.1436
Costa Rica,CRI,2013,0.1436
Costa Rica,CRI,2014,0.1931
Costa Rica,CRI,2015,0.2721
Costa Rica,CRI,2016,0.3651
Costa Rica,CRI,2017,0.37782
Costa Rica,CRI,2018,0.4077699999999999
Costa Rica,CRI,2019,0.41092
Costa Rica,CRI,2020,0.39352
Costa Rica,CRI,2021,0.39352
Mexico,MEX,1997,0.002
Mexico,MEX,1998,0.002
Mexico,MEX,1999,0.002
Mexico,MEX,2000,0.017
Mexico,MEX,2001,0.017
Mexico,MEX,2002,0.018
Mexico,MEX,2003,0.018
Mexico,MEX,2004,0.018
Mexico,MEX,2005,0.018
Mexico,MEX,2006,0.101
Mexico,MEX,2007,0.101
Mexico,MEX,2008,0.101
Mexico,MEX,2009,0.425
Mexico,MEX,2010,0.519
Mexico,MEX,2011,0.601
Mexico,MEX,2012,1815.0
Mexico,MEX,2013,2122.0
Mexico,MEX,2014,2569.0
Mexico,MEX,2015,3271.0
Mexico,MEX,2016,4051.0
Mexico,MEX,2017,4199372.0
Mexico,MEX,2018,4875635.0
Mexico,MEX,2019,6050260000000000.0
Mexico,MEX,2020,6504433.0
Mexico,MEX,2021,769153.0
Uruguay,URY,1997,0.0
Uruguay,URY,1998,0.0
Uruguay,URY,1999,0.0
Uruguay,URY,2000,0.00015
Uruguay,URY,2001,0.00015
Uruguay,URY,2002,0.00015
Uruguay,URY,2003,0.00015
Uruguay,URY,2004,0.00015
Uruguay,URY,2005,0.00015
Uruguay,URY,2006,0.00015
Uruguay,URY,2007,0.00015
Uruguay,URY,2008,0.0146
Uruguay,URY,2009,0.0306
Uruguay,URY,2010,0.0406
Uruguay,URY,2011,0.043605
Uruguay,URY,2012,0.052605
Uruguay,URY,2013,0.059417
Uruguay,URY,2014,0.481268
Uruguay,URY,2015,0.856756
Uruguay,URY,2016,1.21145599999999e+16
Uruguay,URY,2017,1510656.0
Uruguay,URY,2018,1510656.0
Uruguay,URY,2019,1513856.0
Uruguay,URY,2020,1513856.0
Uruguay,URY,2021,1513856.0
