Entity,Code,Year,Hydro (% equivalent primary energy)
Argentina,ARG,1965,11027236.0
Argentina,ARG,1966,10818976.0
Argentina,ARG,1967,10765653.0
Argentina,ARG,1968,12273394.0
Argentina,ARG,1969,10651699.0
Argentina,ARG,1970,13026197.0
Argentina,ARG,1971,12200689.0
Argentina,ARG,1972,11710343.0
Argentina,ARG,1973,22354133.0
Argentina,ARG,1974,3582565.0
Argentina,ARG,1975,3811517.0
Argentina,ARG,1976,35083818.0
Argentina,ARG,1977,38629558.0
Argentina,ARG,1978,5181485.0
Argentina,ARG,1979,66384325.0
Argentina,ARG,1980,948589.0
Argentina,ARG,1981,9480881.0
Argentina,ARG,1982,11150805.0
Argentina,ARG,1983,11201724.0
Argentina,ARG,1984,12057375.0
Argentina,ARG,1985,12680017.0
Argentina,ARG,1986,12220743.0
Argentina,ARG,1987,12183867.0
Argentina,ARG,1988,8344774.0
Argentina,ARG,1989,7478697.0
Argentina,ARG,1990,10209906.0
Argentina,ARG,1991,9001223.0
Argentina,ARG,1992,10132553.0
Argentina,ARG,1993,121635.0
Argentina,ARG,1994,13254489.0
Argentina,ARG,1995,12475042.0
Argentina,ARG,1996,10112366.0
Argentina,ARG,1997,12421807.0
Argentina,ARG,1998,11372231.0
Argentina,ARG,1999,9091587.0
Argentina,ARG,2000,12092774.0
Argentina,ARG,2001,15746431.0
Argentina,ARG,2002,15958025.0
Argentina,ARG,2003,13975237.0
Argentina,ARG,2004,11785715.0
Argentina,ARG,2005,12392465.0
Argentina,ARG,2006,13023436.0
Argentina,ARG,2007,1018465.0
Argentina,ARG,2008,9985144.0
Argentina,ARG,2009,11326775.0
Argentina,ARG,2010,10463687.0
Argentina,ARG,2011,9461024.0
Argentina,ARG,2012,8462529.0
Argentina,ARG,2013,908736.0
Argentina,ARG,2014,8962524.0
Argentina,ARG,2015,8738676.0
Argentina,ARG,2016,8031665.0
Argentina,ARG,2017,8488072.0
Argentina,ARG,2018,8683492.0
Argentina,ARG,2019,7789057.0
Argentina,ARG,2020,7057022.0
Argentina,ARG,2021,53786182.0
Brazil,BRA,1965,27548721.0
Brazil,BRA,1966,27618214.0
Brazil,BRA,1967,27880291.0
Brazil,BRA,1968,25555754.0
Brazil,BRA,1969,2505622.0
Brazil,BRA,1970,26279099.0
Brazil,BRA,1971,26082865.0
Brazil,BRA,1972,26555187.0
Brazil,BRA,1973,25459856.0
Brazil,BRA,1974,26426558.0
Brazil,BRA,1975,27510124.0
Brazil,BRA,1976,28711887.0
Brazil,BRA,1977,30259693.0
Brazil,BRA,1978,30178188.0
Brazil,BRA,1979,31596228.0
Brazil,BRA,1980,341882.0
Brazil,BRA,1981,3554257.0
Brazil,BRA,1982,3652256.0
Brazil,BRA,1983,38383797.0
Brazil,BRA,1984,3929806.0
Brazil,BRA,1985,39506798.0
Brazil,BRA,1986,3793563.0
Brazil,BRA,1987,37483208.0
Brazil,BRA,1988,3870429.0
Brazil,BRA,1989,38998352.0
Brazil,BRA,1990,40011593.0
Brazil,BRA,1991,4058343.0
Brazil,BRA,1992,39771862.0
Brazil,BRA,1993,40067005.0
Brazil,BRA,1994,3938199.0
Brazil,BRA,1995,39237316.0
Brazil,BRA,1996,38897934.0
Brazil,BRA,1997,38623817.0
Brazil,BRA,1998,38926487.0
Brazil,BRA,1999,38448334.0
Brazil,BRA,2000,39243893.0
Brazil,BRA,2001,3511814.0
Brazil,BRA,2002,3634499.0
Brazil,BRA,2003,37870674.0
Brazil,BRA,2004,3769345.0
Brazil,BRA,2005,3829989.0
Brazil,BRA,2006,38355003.0
Brazil,BRA,2007,3850619.0
Brazil,BRA,2008,3628732.0
Brazil,BRA,2009,3837569.0
Brazil,BRA,2010,3571371.0
Brazil,BRA,2011,36060123.0
Brazil,BRA,2012,34104256.0
Brazil,BRA,2013,30845118.0
Brazil,BRA,2014,28610945.0
Brazil,BRA,2015,28132109.0
Brazil,BRA,2016,3028396.0
Brazil,BRA,2017,28998528.0
Brazil,BRA,2018,30113998.0
Brazil,BRA,2019,3007191.0
Brazil,BRA,2020,3122798.0
Brazil,BRA,2021,27199343.0
Chile,CHL,1965,16010857.0
Chile,CHL,1966,15744313.0
Chile,CHL,1967,1576555.0
Chile,CHL,1968,13261512.0
Chile,CHL,1969,13893923.0
Chile,CHL,1970,14088003.0
Chile,CHL,1971,14543134.0
Chile,CHL,1972,1676107.0
Chile,CHL,1973,17016247.0
Chile,CHL,1974,19537651.0
Chile,CHL,1975,21746378.0
Chile,CHL,1976,21369362.0
Chile,CHL,1977,21755028.0
Chile,CHL,1978,21383596.0
Chile,CHL,1979,21256308.0
Chile,CHL,1980,21747541.0
Chile,CHL,1981,21943148.0
Chile,CHL,1982,26155552.0
Chile,CHL,1983,2742795.0
Chile,CHL,1984,27207058.0
Chile,CHL,1985,29730808.0
Chile,CHL,1986,3038825.0
Chile,CHL,1987,3137889.0
Chile,CHL,1988,27586275.0
Chile,CHL,1989,2107872.0
Chile,CHL,1990,16983301.0
Chile,CHL,1991,22199963.0
Chile,CHL,1992,25490206.0
Chile,CHL,1993,24807245.0
Chile,CHL,1994,2330869.0
Chile,CHL,1995,2344569.0
Chile,CHL,1996,20295172.0
Chile,CHL,1997,19929888.0
Chile,CHL,1998,16742573.0
Chile,CHL,1999,13696676.0
Chile,CHL,2000,18160625.0
Chile,CHL,2001,2032624.0
Chile,CHL,2002,2085875.0
Chile,CHL,2003,20326694.0
Chile,CHL,2004,17849092.0
Chile,CHL,2005,2078759.0
Chile,CHL,2006,21346752.0
Chile,CHL,2007,16455467.0
Chile,CHL,2008,17883278.0
