Entity,Code,Year,Renewables (% equivalent primary energy)
Argentina,ARG,1965,11027236.0
Argentina,ARG,1966,10818976.0
Argentina,ARG,1967,10765653.0
Argentina,ARG,1968,12273394.0
Argentina,ARG,1969,10651699.0
Argentina,ARG,1970,13534116.0
Argentina,ARG,1971,12703215.0
Argentina,ARG,1972,12349966.0
Argentina,ARG,1973,22836952.0
Argentina,ARG,1974,36298018.0
Argentina,ARG,1975,3862203.0
Argentina,ARG,1976,35544236.0
Argentina,ARG,1977,39092395.0
Argentina,ARG,1978,52276783.0
Argentina,ARG,1979,67023063.0
Argentina,ARG,1980,9552859.0
Argentina,ARG,1981,9541531.0
Argentina,ARG,1982,11229479.0
Argentina,ARG,1983,11303474.0
Argentina,ARG,1984,12132671.0
Argentina,ARG,1985,12759556.0
Argentina,ARG,1986,12298526.0
Argentina,ARG,1987,12247486.0
Argentina,ARG,1988,8417367.0
Argentina,ARG,1989,75435934.0
Argentina,ARG,1990,10292679.0
Argentina,ARG,1991,9081444.0
Argentina,ARG,1992,10206743.0
Argentina,ARG,1993,12216533.0
Argentina,ARG,1994,13306406.0
Argentina,ARG,1995,12535519.0
Argentina,ARG,1996,10225038.0
Argentina,ARG,1997,12514141.0
Argentina,ARG,1998,11482152.0
Argentina,ARG,1999,9226557.0
Argentina,ARG,2000,12283858.0
Argentina,ARG,2001,15937488.0
Argentina,ARG,2002,16249306.0
Argentina,ARG,2003,14408259.0
Argentina,ARG,2004,121855755.0
Argentina,ARG,2005,12788524.0
Argentina,ARG,2006,13449462.0
Argentina,ARG,2007,10599154.0
Argentina,ARG,2008,10437064.0
Argentina,ARG,2009,11783506.0
Argentina,ARG,2010,11661375.0
Argentina,ARG,2011,10929448.0
Argentina,ARG,2012,10216426.0
Argentina,ARG,2013,10950079.0
Argentina,ARG,2014,11038978.0
Argentina,ARG,2015,10907397.0
Argentina,ARG,2016,10167007.0
Argentina,ARG,2017,10964719.0
Argentina,ARG,2018,1139763.0
Argentina,ARG,2019,11926772.0
Argentina,ARG,2020,12179417.0
Argentina,ARG,2021,11329249.0
Brazil,BRA,1965,27548721.0
Brazil,BRA,1966,27618214.0
Brazil,BRA,1967,27880291.0
Brazil,BRA,1968,25555754.0
Brazil,BRA,1969,2505622.0
Brazil,BRA,1970,26901081.0
Brazil,BRA,1971,26817772.0
Brazil,BRA,1972,27390734.0
Brazil,BRA,1973,261017.0
Brazil,BRA,1974,26928135.0
Brazil,BRA,1975,27995861.0
Brazil,BRA,1976,29160088.0
Brazil,BRA,1977,31084343.0
Brazil,BRA,1978,31529354.0
Brazil,BRA,1979,3338749.0
Brazil,BRA,1980,36188007.0
Brazil,BRA,1981,3750488.0
Brazil,BRA,1982,3909782.0
Brazil,BRA,1983,4186777.0
Brazil,BRA,1984,4321895.0
Brazil,BRA,1985,43929535.0
Brazil,BRA,1986,43219524.0
Brazil,BRA,1987,4277721.0
Brazil,BRA,1988,44011196.0
Brazil,BRA,1989,44574318.0
Brazil,BRA,1990,45275486.0
Brazil,BRA,1991,4586179.0
Brazil,BRA,1992,44902706.0
Brazil,BRA,1993,4515963.0
Brazil,BRA,1994,445656.0
Brazil,BRA,1995,4434581.0
Brazil,BRA,1996,4408196.0
Brazil,BRA,1997,43489933.0
Brazil,BRA,1998,4357197.0
Brazil,BRA,1999,43143803.0
Brazil,BRA,2000,43288433.0
Brazil,BRA,2001,3911162.0
Brazil,BRA,2002,40756653.0
Brazil,BRA,2003,42284126.0
Brazil,BRA,2004,42286156.0
Brazil,BRA,2005,431457.0
Brazil,BRA,2006,43045963.0
Brazil,BRA,2007,44380226.0
Brazil,BRA,2008,43366776.0
Brazil,BRA,2009,4630883.0
Brazil,BRA,2010,44246536.0
Brazil,BRA,2011,4391006.0
Brazil,BRA,2012,4206637.0
Brazil,BRA,2013,39836597.0
Brazil,BRA,2014,38852745.0
Brazil,BRA,2015,40603523.0
Brazil,BRA,2016,435387.0
Brazil,BRA,2017,43280678.0
Brazil,BRA,2018,46080498.0
Brazil,BRA,2019,47304844.0
Brazil,BRA,2020,4947188.0
Brazil,BRA,2021,4621975.0
Chile,CHL,1965,16010857.0
Chile,CHL,1966,15744313.0
Chile,CHL,1967,1576555.0
Chile,CHL,1968,13261512.0
Chile,CHL,1969,13893923.0
Chile,CHL,1970,14088003.0
Chile,CHL,1971,14758605.0
Chile,CHL,1972,16941067.0
Chile,CHL,1973,17183693.0
Chile,CHL,1974,19690105.0
Chile,CHL,1975,21933805.0
Chile,CHL,1976,21624561.0
Chile,CHL,1977,22024628.0
Chile,CHL,1978,21673307.0
Chile,CHL,1979,2154592.0
Chile,CHL,1980,22060732.0
Chile,CHL,1981,2226287.0
Chile,CHL,1982,26589516.0
Chile,CHL,1983,28068626.0
Chile,CHL,1984,277989.0
Chile,CHL,1985,30296179.0
Chile,CHL,1986,31164711.0
Chile,CHL,1987,320948.0
Chile,CHL,1988,2836174.0
Chile,CHL,1989,21771547.0
Chile,CHL,1990,18957916.0
Chile,CHL,1991,24084661.0
Chile,CHL,1992,2835539.0
Chile,CHL,1993,2752927.0
Chile,CHL,1994,25954523.0
Chile,CHL,1995,26028479.0
Chile,CHL,1996,22551899.0
Chile,CHL,1997,21909548.0
Chile,CHL,1998,18059258.0
Chile,CHL,1999,15275815.0
Chile,CHL,2000,19573402.0
Chile,CHL,2001,2204736.0
Chile,CHL,2002,2261727.0
Chile,CHL,2003,22010809.0
Chile,CHL,2004,19768446.0
Chile,CHL,2005,22415243.0
Chile,CHL,2006,22566658.0
Chile,CHL,2007,18706137.0
Chile,CHL,2008,20915377.0
